_time,sender,subject,attachments,recipients,recipients_email_domain,leaver,termination,account_type,wordlist_attachment,wordlist_subject,bunit,department,user_response,final_outcome,policy_name,justifications
7/15/2025 11:33,sender1@examplebank.com,access payment,nda.txt,user6@freemail.com,freemail.com,No,1/2/2025,Standard,TRUE,TRUE,HR,Trading,Investigated,False Positive,Unauthorized Access,Subject contains suspicious keywords
7/16/2025 19:13,sender7@examplebank.com,payment urgent,"invoice.xlsx,confidential.xlsx",user6@vendor.com,vendor.com,No,1/3/2025,Privileged,TRUE,TRUE,HR,Risk,Reported,False Positive,Phishing Attempt,Subject contains suspicious keywords
8/1/2025 14:56,sender4@examplebank.com,access review,"salary.txt,contract.txt,nda.txt","user4@partnerbank.com,user44@examplebank.com,user19@partnerbank.com","partnerbank.com,examplebank.com,partnerbank.com",Yes,1/4/2025,Standard,TRUE,TRUE,IT,Legal,Ignored,Malicious,Unauthorized Access,Subject contains suspicious keywords
7/27/2025 20:34,sender7@examplebank.com,review,invoice.txt,user31@partnerbank.com,partnerbank.com,Yes,1/5/2025,Standard,TRUE,TRUE,Operations,Risk,Reported,Benign,Unauthorized Access,User flagged as high risk
7/11/2025 6:13,sender1@examplebank.com,review confidential,"nda.docx,contract.pdf,confidential.docx","user50@examplebank.com,user36@vendor.com","examplebank.com,vendor.com",No,1/6/2025,Standard,TRUE,TRUE,Finance,Risk,No Action,Unclear,Suspicious Attachment,Attachment flagged by wordlist
8/6/2025 18:31,sender10@examplebank.com,urgent confidential,"confidential.docx,contract.xlsx","user34@vendor.com,user39@examplebank.com,user21@examplebank.com","vendor.com,examplebank.com,examplebank.com",Yes,1/7/2025,Standard,TRUE,TRUE,Finance,Trading,Investigated,Unclear,Phishing Attempt,User flagged as high risk
7/20/2025 8:32,sender12@examplebank.com,review payment,contract.pdf,user45@vendor.com,vendor.com,No,1/8/2025,Privileged,TRUE,TRUE,HR,Customer Service,Investigated,False Positive,Phishing Attempt,Subject contains suspicious keywords
7/28/2025 10:08,sender2@examplebank.com,review payment,contract.txt,"user37@partnerbank.com,user30@examplebank.com","partnerbank.com,examplebank.com",No,1/9/2025,Admin,TRUE,TRUE,Compliance,Customer Service,No Action,Unclear,Data Exfiltration,Subject contains suspicious keywords
7/14/2025 5:15,sender3@examplebank.com,Monthly report,confidential.xlsx,"user30@freemail.com,user14@freemail.com","freemail.com,freemail.com",No,1/10/2025,Admin,TRUE,FALSE,Operations,Risk,No Action,Benign,Unauthorized Access,Subject contains suspicious keywords
8/1/2025 8:37,sender12@examplebank.com,confidential,salary.txt,user24@freemail.com,freemail.com,Yes,1/11/2025,Standard,TRUE,TRUE,Compliance,Trading,No Action,False Positive,Data Exfiltration,User flagged as high risk
7/19/2025 3:54,sender17@examplebank.com,payment review,invoice.pdf,"user39@examplebank.com,user48@examplebank.com","examplebank.com,examplebank.com",No,1/12/2025,Admin,TRUE,TRUE,Operations,Legal,No Action,Malicious,Data Exfiltration,Subject contains suspicious keywords
7/22/2025 3:09,sender8@examplebank.com,urgent confidential,salary.txt,"user20@partnerbank.com,user33@vendor.com","partnerbank.com,vendor.com",No,1/13/2025,Standard,TRUE,TRUE,IT,Legal,Reported,False Positive,Data Exfiltration,User flagged as high risk
